"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"CUMCPSJ9","journalArticle","2018","Zhang, Di; Sessa, Salvatore; Kasai, Ritaro; Cosentino, Sarah; Giacomo, Cimarelli; Mochida, Yasuaki; Yamada, Hiroya; Guarnieri, Michele; Takanishi, Atsuo","Evaluation of a Sensor System for Detecting Humans Trapped under Rubble: A Pilot Study","Sensors","","1424-8220","10.3390/s18030852","http://www.mdpi.com/1424-8220/18/3/852","Rapid localization of injured survivors by rescue teams to prevent death is a major issue. In this paper, a sensor system for human rescue including three different types of sensors, a CO2 sensor, a thermal camera, and a microphone, is proposed. The performance of this system in detecting living victims under the rubble has been tested in a high-ﬁdelity simulated disaster area. Results show that the CO2 sensor is useful to effectively reduce the possible concerned area, while the thermal camera can conﬁrm the correct position of the victim. Moreover, it is believed that the use of microphones in connection with other sensors would be of great beneﬁt for the detection of casualties. In this work, an algorithm to recognize voices or suspected human noise under rubble has also been developed and tested.","2018-03-13","2019-11-24 21:09:34","2019-11-24 21:09:34","2019-11-24 21:09:34","852","","3","18","","Sensors","Evaluation of a Sensor System for Detecting Humans Trapped under Rubble","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\EMPTY_COLLECTION_NAME\2018_Sensors_Zhang et al_Evaluation of a Sensor System for Detecting Humans Trapped under Rubble.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XIWXHCZV","conferencePaper","2013","Jin, Yao; Basantani, Hitesh A.; Ozcelik, Adem; Jackson, Tom N.; Horn, Mark W.","High-resistivity and high-TCR vanadium oxide thin films for infrared imaging prepared by bias target ion-beam deposition","","","","10.1117/12.2016277","http://proceedings.spiedigitallibrary.org/proceeding.aspx?doi=10.1117/12.2016277","Vanadium oxide (VOx) thin films have been intensively studied as an imaging material for uncooled microbolometers due to their low resistivity, high temperature coefficient of resistivity (TCR), and low 1/f noise. Our group has studied pulsed DC reactive sputtered VOx thin films while reactive ion beam sputtering has been exclusively used to fabricate the VOx thin films for commercial thermal imaging cameras. The typical resistivity of imaging-grade VOx thin films is in the range of 0.1 to 10 ohm-cm with a TCR from -2%/K to -3%/K.","2013-06-18","2019-11-26 02:35:10","2019-11-26 02:35:10","2019-11-26 02:35:10","87043C","","","","","","","","","","","","Baltimore, Maryland, USA","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\EMPTY_COLLECTION_NAME\2013_Jin et al_High-resistivity and high-TCR vanadium oxide thin films for infrared imaging.pdf","","","","Andresen, Bjørn F.; Fulop, Gabor F.; Hanson, Charles M.; Norton, Paul R.; Robert, Patrick","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SPIE Defense, Security, and Sensing","","","","","","","","","","","","","","",""
"TBYGIZK5","conferencePaper","2006","Richwine, Robert; Balcerak, Raymond; Rapach, Chuck; Freyvogel, Ken; Sood, Ashok","A comprehensive model for bolometer element and uncooled array design and imaging sensor performance prediction","","","","10.1117/12.682836","http://proceedings.spiedigitallibrary.org/proceeding.aspx?doi=10.1117/12.682836","This paper reports on a model developed to predict bolometer performance in its environment, where the environment consists of thermal, optical and electrical components. Two complementary methods were employed to predict performance. The first solves the heat balance equation for the bolometer in its circuit and its thermal environment with known values of heat capacitance, thermal conductance, absorptance, temperature coefficient of resistance and the userdefined bias current (either constant or pulsed). This iteration yields a bolometer temperature rise, and a corresponding change in resistance and voltage. This is the signal part of the equation. The second method is required to calculate the total bolometer noise. It uses equations derived from the literature to predict bolometer noise, response, NEP and NETD from first principles for the four types of noise generated in thermal detectors (thermal fluctuation noise, background fluctuation noise, johnson noise and 1/f noise). Thermal conductance and heat capacities are calculated using all the elements of the bolometer structure such as the silicon nitride structure, the VOx coating, and the nichrome electrical leads. Using a calculation of the full spectral irradiance on the bolometer from the scene and the dewar and a userdefined bolometer element spectral absorption, the model will accurately assess performance in any environment. The model also employs a 3-D noise model and provides synthetic images of PSF-blurred bar targets for NETD and MRTD predictions.","2006-08-31","2019-11-26 06:33:14","2019-11-26 06:33:14","2019-11-26 06:33:14","62940F","","","","","","","","","","","","San Diego, California, USA","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\EMPTY_COLLECTION_NAME\2006_Richwine et al_A comprehensive model for bolometer element and uncooled array design and.pdf","","","","Longshore, Randolph E.; Sood, Ashok","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SPIE Optics + Photonics","","","","","","","","","","","","","","",""
"WNLM5JD5","journalArticle","2005","Chi-Anh, Nguyen; Shin, Hyun-Joon; Kim, KunTae; Han, Yong-Hee; Moon, Sung","Characterization of uncooled bolometer with vanadium tungsten oxide infrared active layer","Sensors and Actuators A: Physical","","09244247","10.1016/j.sna.2005.04.024","https://linkinghub.elsevier.com/retrieve/pii/S0924424705002396","A surface micromachining uncooled infrared detector with an optimized vanadium alloy oxide layer is fabricated, based on low temperature annealing of V–W alloy oxide layer. Vanadium oxide is a promising material for an uncooled bolometer, due to its high temperature coefﬁcient of resistance at room temperature. An infrared active layer is needed to be with the reﬂective layer to enhance its IR absorption.","2005-09","2019-11-26 06:35:00","2019-11-26 06:35:00","2019-11-26 06:35:00","87-91","","","123-124","","Sensors and Actuators A: Physical","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\EMPTY_COLLECTION_NAME\2005_Sensors and Actuators A Physical_Chi-Anh et al_Characterization of uncooled bolometer with vanadium tungsten oxide infrared.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DJ7Z44ZP","journalArticle","2012","Marmur, Abraham","Hydro- hygro- oleo- omni-phobic? Terminology of wettability classification","Soft Matter","","1744-683X, 1744-6848","10.1039/c2sm25443c","http://xlink.rsc.org/?DOI=c2sm25443c","","2012","2019-12-02 14:05:55","2019-12-02 14:05:55","2019-12-02 14:05:55","6867","","26","8","","Soft Matter","Hydro- hygro- oleo- omni-phobic?","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\EMPTY_COLLECTION_NAME\2012_Soft Matter_Marmur_Hydro- hygro- oleo- omni-phobic.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ILAILNIQ","journalArticle","2019","Kingston, Todd A.; Weibel, Justin A.; Garimella, Suresh V.","Ledinegg instability-induced temperature excursion between thermally isolated, heated parallel microchannels","International Journal of Heat and Mass Transfer","","00179310","10.1016/j.ijheatmasstransfer.2018.12.017","https://linkinghub.elsevier.com/retrieve/pii/S0017931018337086","Two-phase ﬂow through heated parallel channels is commonly encountered in thermal systems used for power generation, air conditioning, and electronics cooling. Flow boiling is susceptible to instabilities that can lead to maldistribution between the channels and thereby heat transfer performance reductions. In this study, the Ledinegg instability that occurs during ﬂow boiling in two thermally isolated parallel microchannels is studied experimentally. A dielectric liquid (HFE-7100) is delivered to the parallel channels using a constant pressure source. Both channels are uniformly subjected to the same power, which is in increased in steps. Flow visualization is conducted simultaneously with pressure drop, mass ﬂux, and wall temperature measurements to characterize the thermal-ﬂuidic effects of the Ledinegg instability. When the ﬂow in both channels is in the single-phase regime, they have equal wall temperatures due to evenly distributed mass ﬂux delivered to each channel. Boiling incipience in one of the channels triggers the Ledinegg instability which induces a temperature difference between the two channels due to ﬂow maldistribution. The temperature difference between the two channels grows with increasing power until boiling incipience occurs in the second channel. The wall temperatures of both channels then reduce signiﬁcantly as the ﬂow becomes more evenly distributed. The experimentally observed temperature excursion between the channels is reported here for the ﬁrst time and provides an improved understanding of the thermal performance implications of the Ledinegg instability in thermally isolated parallel channels.","2019-04","2019-12-09 12:06:52","2019-12-09 12:06:53","2019-12-09 12:06:52","550-556","","","132","","International Journal of Heat and Mass Transfer","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\EMPTY_COLLECTION_NAME\2019_International Journal of Heat and Mass Transfer_Kingston et al_Ledinegg instability-induced temperature excursion between thermally isolated,.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5FPDTTTA","journalArticle","2016","Farokhnia, Nazanin; Irajizad, Peyman; Sajadi, Seyed Mohammad; Ghasemi, Hadi","Rational Micro/Nanostructuring for Thin-Film Evaporation","The Journal of Physical Chemistry C","","1932-7447, 1932-7455","10.1021/acs.jpcc.6b01362","https://pubs.acs.org/doi/10.1021/acs.jpcc.6b01362","Heat management in electronics and photonics devices is a critical challenge impeding accelerated breakthrough in these ﬁelds. Among approaches for heat dissipation, thin-ﬁlm evaporation with micro/nanostructures has been one of the most promising approaches that can address future technological demand. The geometry and dimension of these micro/nanostructures directly govern the interfacial heat ﬂux. Here, through theoretical and experimental analysis, we ﬁnd that there is an optimal dimension of micro/nanostructures that maximizes the interfacial heat ﬂux by thin-ﬁlm evaporation. This optimal criterion is a consequence of two opposing phenomena: nonuniform evaporation ﬂux across a liquid meniscus (divergent mass ﬂux near the three-phase contact line) and the total liquid area exposed for evaporation. In vertical micro/nanostructures, the optimal width-to-spacing ratio is 1.27 for square pillars and 1.5 for wires (e.g., nanowires). This general criterion is independent of the solid material and the thermophysical properties of the cooling liquid. At the optimal width-to-spacing ratio, as the density of the pillars increases (i.e., smaller pillar’s dimension), the interfacial heat ﬂux increases. This study provides a direction for rational development of micro/nanostructures for thin-ﬁlm evaporation and paves the path for development of high-performance thermal management systems.","2016-04-28","2019-12-18 02:07:43","2019-12-18 02:07:43","2019-12-18 02:07:43","8742-8750","","16","120","","J. Phys. Chem. C","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\EMPTY_COLLECTION_NAME\2016_J. Phys. Chem. C_Farokhnia et al_Rational Micro-Nanostructuring for Thin-Film Evaporation.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IJEQ9Q7L","journalArticle","2011","Ranjan, Ram; Murthy, Jayathi Y.; Garimella, Suresh V.","A microscale model for thin-film evaporation in capillary wick structures","International Journal of Heat and Mass Transfer","","00179310","10.1016/j.ijheatmasstransfer.2010.09.037","https://linkinghub.elsevier.com/retrieve/pii/S0017931010005168","A numerical model is developed for the evaporating liquid meniscus in wick microstructures under saturated vapor conditions. Four different wick geometries representing common wicks used in heat pipes, viz., wire mesh, rectangular grooves, sintered wicks and vertical microwires, are modeled and compared for evaporative performance. The solid–liquid combination considered is copper–water. Steady evaporation is modeled and the liquid–vapor interface shape is assumed to be static during evaporation. Liquid–vapor interface shapes in different geometries are obtained by solving the Young–Laplace equation using Surface Evolver. Mass, momentum and energy equations are solved numerically in the liquid domain, with the vapor assumed to be saturated. Evaporation at the interface is modeled by using heat and mass transfer rates obtained from kinetic theory. Thermocapillary convection due to non-isothermal conditions at the interface is modeled for all geometries and its role in heat transfer enhancement from the interface is quantiﬁed for both low and high superheats. More than 80% of the evaporation heat transfer is noted to occur from the thin-ﬁlm region of the liquid meniscus. The very small Capillary and Weber numbers resulting from the small ﬂuid velocities near the interface for low superheats validate the assumption of a static liquid meniscus shape during evaporation. Solid–liquid contact angle, wick porosity, solid–vapor superheat and liquid level in the wick pore are varied to study their effects on evaporation from the liquid meniscus.","2011-01","2019-12-18 03:03:37","2019-12-18 03:03:37","2019-12-18 03:03:37","169-179","","1-3","54","","International Journal of Heat and Mass Transfer","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\Evaporation paper\2011_International Journal of Heat and Mass Transfer_Ranjan et al_A microscale model for thin-film evaporation in capillary wick structures.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QDAPREN3","journalArticle","2017","Van Oevelen, Tijs; Weibel, Justin A.; Garimella, Suresh V.","Predicting two-phase flow distribution and stability in systems with many parallel heated channels","International Journal of Heat and Mass Transfer","","00179310","10.1016/j.ijheatmasstransfer.2016.11.050","https://linkinghub.elsevier.com/retrieve/pii/S0017931016324395","Two-phase heat exchangers are used in a variety of industrial processes in which the boiling ﬂuid ﬂows through a network of parallel channels. In some situations, the ﬂuid may not be uniformly distributed through all the channels, causing a degradation in the thermal performance of the system. A methodology for modeling two-phase ﬂow distributions in parallel-channel systems is developed. The methodology combines a pressure-drop model for individual parallel channels with a pump curve into a system ﬂow network. Due to the non-monotonicity of the pressure drop as a function of ﬂow rate for boiling channels, many steady-state solutions exist for the system ﬂow equations. A new numerical approach is proposed to analyze the stability of these solutions, based on a generalized eigenvalue problem. The method is speciﬁcally designed for analyzing systems with hundreds of identical parallel channels.","2017-04","2020-03-05 00:05:23","2020-03-05 00:05:23","2020-03-05 00:05:23","557-571","","","107","","International Journal of Heat and Mass Transfer","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\EMPTY_COLLECTION_NAME\2017_International Journal of Heat and Mass Transfer_Van Oevelen et al_Predicting two-phase flow distribution and stability in systems with many.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8RHAS6DP","journalArticle","2017","Van Oevelen, Tijs; Weibel, Justin A.; Garimella, Suresh V.","Predicting two-phase flow distribution and stability in systems with many parallel heated channels","International Journal of Heat and Mass Transfer","","00179310","10.1016/j.ijheatmasstransfer.2016.11.050","https://linkinghub.elsevier.com/retrieve/pii/S0017931016324395","Two-phase heat exchangers are used in a variety of industrial processes in which the boiling ﬂuid ﬂows through a network of parallel channels. In some situations, the ﬂuid may not be uniformly distributed through all the channels, causing a degradation in the thermal performance of the system. A methodology for modeling two-phase ﬂow distributions in parallel-channel systems is developed. The methodology combines a pressure-drop model for individual parallel channels with a pump curve into a system ﬂow network. Due to the non-monotonicity of the pressure drop as a function of ﬂow rate for boiling channels, many steady-state solutions exist for the system ﬂow equations. A new numerical approach is proposed to analyze the stability of these solutions, based on a generalized eigenvalue problem. The method is speciﬁcally designed for analyzing systems with hundreds of identical parallel channels.","2017-04","2020-03-05 00:08:14","2020-03-05 00:08:14","2020-03-05 00:08:14","557-571","","","107","","International Journal of Heat and Mass Transfer","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\flow_boiling\2017_International Journal of Heat and Mass Transfer_Van Oevelen et al_Predicting two-phase flow distribution and stability in systems with many.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
